2025-12-27 23:15:28,096 INFO    MainThread:2495865 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2025-12-27 23:15:28,097 INFO    MainThread:2495865 [wandb_setup.py:_flush():80] Configure stats pid to 2495865
2025-12-27 23:15:28,097 INFO    MainThread:2495865 [wandb_setup.py:_flush():80] Loading settings from /home/ximeng/.config/wandb/settings
2025-12-27 23:15:28,097 INFO    MainThread:2495865 [wandb_setup.py:_flush():80] Loading settings from /home/ximeng/Documents/CTP/wandb/settings
2025-12-27 23:15:28,097 INFO    MainThread:2495865 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-27 23:15:28,097 INFO    MainThread:2495865 [wandb_init.py:setup_run_log_directory():714] Logging user logs to /home/ximeng/Documents/CTP/wandb/run-20251227_231528-on7bj9pj/logs/debug.log
2025-12-27 23:15:28,097 INFO    MainThread:2495865 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to /home/ximeng/Documents/CTP/wandb/run-20251227_231528-on7bj9pj/logs/debug-internal.log
2025-12-27 23:15:28,097 INFO    MainThread:2495865 [wandb_init.py:init():841] calling init triggers
2025-12-27 23:15:28,097 INFO    MainThread:2495865 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-12-27 23:15:28,097 INFO    MainThread:2495865 [wandb_init.py:init():889] starting backend
2025-12-27 23:15:28,340 INFO    MainThread:2495865 [wandb_init.py:init():892] sending inform_init request
2025-12-27 23:15:28,370 INFO    MainThread:2495865 [wandb_init.py:init():900] backend started and connected
2025-12-27 23:15:28,372 INFO    MainThread:2495865 [wandb_init.py:init():970] updated telemetry
2025-12-27 23:15:28,401 INFO    MainThread:2495865 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2025-12-27 23:15:28,871 INFO    MainThread:2495865 [wandb_init.py:init():1041] starting run threads in backend
2025-12-27 23:15:28,947 INFO    MainThread:2495865 [wandb_run.py:_console_start():2521] atexit reg
2025-12-27 23:15:28,947 INFO    MainThread:2495865 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2025-12-27 23:15:28,947 INFO    MainThread:2495865 [wandb_run.py:_redirect():2438] Wrapping output streams.
2025-12-27 23:15:28,947 INFO    MainThread:2495865 [wandb_run.py:_redirect():2461] Redirects installed.
2025-12-27 23:15:28,949 INFO    MainThread:2495865 [wandb_init.py:init():1081] run started, returning control to user process
2025-12-27 23:15:28,949 INFO    MainThread:2495865 [wandb_run.py:_config_callback():1396] config_cb None None {'Name': 'ctp_default', 'Model': {'clip_model': 'ViT-B/32', 'point_model': 'PointNet2', 'loss_fn': 'r2_similarity_loss', 'alpha': None, 'pc_only': False}, 'Dataset': {'sparse_method': 'zero_pad', 'train_data_path': 'dataset/nuscenes_triplets/nuscenes_triplet_train.jsonl', 'detailed_caption': True}, 'Train': {'batch_size': 64, 'epochs': 10, 'learning_rate': 0.0005, 'weight_decay': 0.2, 'warmup_ratio': 0.1, 'accumulation_steps': 1, 'optimizer': 'AdamW', 'scheduler': {'type': 'constant', 'num_cycles': None}, 'use_tb': True, 'use_wandb': True, 'wandb_mode': 'online', 'checkpoint_path': None, 'wandb_id': 'on7bj9pj'}, 'Eval': {'eval_data_path': 'dataset/nuscenes_triplets/nuscenes_triplet_val.jsonl', 'device': 'cuda', 'loss_fn': 'abs_cosine_matrix_loss_eval', 'alpha': 0, 'batch_size': 256, 'checkpoint_path': 'checkpoints/128_obj2_r2_cube_all/ckpt_epoch9.pt'}}
2025-12-27 23:15:51,993 INFO    wandb-AsyncioManager-main:2495865 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-27 23:15:51,993 INFO    wandb-AsyncioManager-main:2495865 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
